x l1 l2 l3 l4
-1.050 0.0000 0.0000 0.0000 0.0000
-1.000 1.6247 0.6820 0.3893 0.2167
-0.950 0.9067 0.7153 0.5593 0.4253
-0.900 0.6800 0.7047 0.6093 0.4940
-0.850 0.5793 0.6347 0.5933 0.5067
-0.800 0.5167 0.5840 0.5973 0.5393
-0.750 0.4587 0.5647 0.5353 0.5273
-0.700 0.4300 0.5007 0.4940 0.4980
-0.650 0.3887 0.5073 0.4940 0.5393
-0.600 0.3580 0.4853 0.5227 0.5227
-0.550 0.3173 0.5087 0.5100 0.5260
-0.500 0.3307 0.4520 0.4880 0.4873
-0.450 0.3367 0.4633 0.4980 0.5153
-0.400 0.3040 0.4133 0.4593 0.4827
-0.350 0.3180 0.4327 0.4513 0.4747
-0.300 0.3033 0.4000 0.4607 0.5113
-0.250 0.2913 0.3967 0.4560 0.4773
-0.200 0.2773 0.4013 0.4587 0.4947
-0.150 0.2853 0.3860 0.4220 0.4747
-0.100 0.2967 0.3813 0.4533 0.4427
-0.050 0.3053 0.4087 0.4560 0.4533
0.000 0.2933 0.3953 0.4587 0.4787
0.050 0.3020 0.3927 0.4853 0.4673
0.100 0.3080 0.3747 0.4473 0.4920
0.150 0.3080 0.4080 0.4240 0.5060
0.200 0.3173 0.4333 0.4787 0.5147
0.250 0.3420 0.4147 0.4273 0.4947
0.300 0.3160 0.4013 0.4333 0.4847
0.350 0.3353 0.4200 0.4647 0.5140
0.400 0.3473 0.4520 0.4827 0.5247
0.450 0.3333 0.4353 0.4667 0.5360
0.500 0.3833 0.4640 0.5393 0.5313
0.550 0.4253 0.4847 0.5080 0.5520
0.600 0.3960 0.4907 0.5200 0.5707
0.650 0.4827 0.5000 0.5260 0.5480
0.700 0.4780 0.5840 0.5573 0.5780
0.750 0.5880 0.5893 0.5647 0.6333
0.800 0.6607 0.6213 0.6220 0.5800
0.850 0.8120 0.7360 0.6080 0.5520
0.900 1.0560 0.7233 0.6160 0.5347
0.950 2.2067 0.6567 0.4620 0.2980
1.000 0.0000 0.0000 0.0000 0.0000
1.050 0.0000 0.0000 0.0000 0.0000
