x l1 l2 l3 l4
-1.050 0.0000 0.0000 0.0000 0.0000
-1.000 8.7500 9.1273 9.0107 8.8613
-0.950 0.1120 0.1620 0.1820 0.1873
-0.900 0.0607 0.1140 0.0887 0.1180
-0.850 0.0440 0.0727 0.0700 0.0713
-0.800 0.0400 0.0507 0.0547 0.0633
-0.750 0.0293 0.0560 0.0493 0.0520
-0.700 0.0293 0.0480 0.0373 0.0407
-0.650 0.0233 0.0340 0.0393 0.0373
-0.600 0.0247 0.0420 0.0400 0.0400
-0.550 0.0247 0.0327 0.0240 0.0287
-0.500 0.0187 0.0193 0.0260 0.0353
-0.450 0.0187 0.0253 0.0320 0.0487
-0.400 0.0167 0.0220 0.0293 0.0260
-0.350 0.0227 0.0280 0.0267 0.0280
-0.300 0.0173 0.0307 0.0353 0.0220
-0.250 0.0180 0.0240 0.0300 0.0300
-0.200 0.0113 0.0233 0.0253 0.0253
-0.150 0.0160 0.0247 0.0313 0.0280
-0.100 0.0207 0.0227 0.0253 0.0253
-0.050 0.0107 0.0287 0.0173 0.0260
0.000 0.0167 0.0247 0.0347 0.0220
0.050 0.0140 0.0273 0.0127 0.0327
0.100 0.0147 0.0247 0.0333 0.0260
0.150 0.0213 0.0247 0.0253 0.0227
0.200 0.0133 0.0247 0.0247 0.0193
0.250 0.0087 0.0233 0.0247 0.0320
0.300 0.0173 0.0227 0.0253 0.0213
0.350 0.0127 0.0293 0.0253 0.0247
0.400 0.0173 0.0287 0.0253 0.0353
0.450 0.0180 0.0387 0.0393 0.0233
0.500 0.0187 0.0420 0.0380 0.0260
0.550 0.0300 0.0307 0.0373 0.0320
0.600 0.0260 0.0473 0.0447 0.0360
0.650 0.0213 0.0373 0.0420 0.0527
0.700 0.0367 0.0613 0.0393 0.0467
0.750 0.0467 0.0647 0.0553 0.0593
0.800 0.0407 0.0700 0.0807 0.0740
0.850 0.0660 0.1093 0.1020 0.1093
0.900 0.1120 0.1667 0.1747 0.1760
0.950 10.1393 9.1140 9.2407 9.3340
1.000 0.0000 0.0000 0.0000 0.0000
1.050 0.0000 0.0000 0.0000 0.0000
