x l1 l2 l3 l4
-1.050 0.0000 0.0000 0.0000 0.0000
-1.000 0.0153 0.0000 0.0000 0.0000
-0.950 0.0713 0.0000 0.0000 0.0000
-0.900 0.1653 0.0000 0.0000 0.0000
-0.850 0.2153 0.0013 0.0000 0.0000
-0.800 0.2900 0.0020 0.0000 0.0000
-0.750 0.3453 0.0107 0.0000 0.0000
-0.700 0.3900 0.0247 0.0000 0.0000
-0.650 0.4353 0.0493 0.0013 0.0000
-0.600 0.4913 0.0880 0.0020 0.0000
-0.550 0.5387 0.1587 0.0053 0.0000
-0.500 0.5673 0.2600 0.0087 0.0000
-0.450 0.6127 0.3633 0.0313 0.0000
-0.400 0.6187 0.5400 0.0760 0.0000
-0.350 0.6907 0.6907 0.1827 0.0013
-0.300 0.7080 0.9267 0.4260 0.0180
-0.250 0.7127 1.0587 0.8173 0.0833
-0.200 0.7347 1.2760 1.3627 0.4440
-0.150 0.7353 1.4440 1.8847 1.4367
-0.100 0.7247 1.5313 2.5380 3.1313
-0.050 0.7353 1.5567 2.8660 4.7793
0.000 0.7793 1.6000 2.7900 4.7467
0.050 0.7320 1.5647 2.4927 3.3033
0.100 0.7547 1.4007 1.9420 1.4927
0.150 0.7073 1.3213 1.2833 0.4467
0.200 0.6987 1.0673 0.6953 0.0993
0.250 0.7093 0.9113 0.3580 0.0160
0.300 0.6813 0.7033 0.1527 0.0013
0.350 0.6247 0.5553 0.0533 0.0000
0.400 0.6287 0.3553 0.0193 0.0000
0.450 0.6340 0.2460 0.0080 0.0000
0.500 0.5407 0.1613 0.0027 0.0000
0.550 0.5680 0.0773 0.0007 0.0000
0.600 0.4680 0.0360 0.0000 0.0000
0.650 0.4473 0.0113 0.0000 0.0000
0.700 0.3773 0.0053 0.0000 0.0000
0.750 0.3213 0.0013 0.0000 0.0000
0.800 0.2473 0.0000 0.0000 0.0000
0.850 0.1580 0.0000 0.0000 0.0000
0.900 0.1060 0.0000 0.0000 0.0000
0.950 0.0180 0.0000 0.0000 0.0000
1.000 0.0000 0.0000 0.0000 0.0000
1.050 0.0000 0.0000 0.0000 0.0000
