x l1 l2 l3 l4
-1.050 0.0000 0.0000 0.0000 0.0000
-1.000 0.5553 0.0533 0.0000 0.0000
-0.950 0.6340 0.1527 0.0220 0.0007
-0.900 0.5533 0.2247 0.0560 0.0067
-0.850 0.5433 0.3180 0.1380 0.0253
-0.800 0.5267 0.3740 0.2153 0.0707
-0.750 0.4913 0.4500 0.2553 0.1307
-0.700 0.4947 0.4980 0.3387 0.1967
-0.650 0.4787 0.5160 0.4153 0.2633
-0.600 0.4567 0.5847 0.5180 0.3267
-0.550 0.4567 0.5413 0.5593 0.4453
-0.500 0.4233 0.5987 0.6053 0.5513
-0.450 0.4293 0.5807 0.6133 0.6107
-0.400 0.3913 0.6280 0.6647 0.6933
-0.350 0.4047 0.6520 0.7233 0.7373
-0.300 0.4260 0.6740 0.7660 0.8360
-0.250 0.4053 0.6660 0.7740 0.8727
-0.200 0.4127 0.6073 0.8020 0.9147
-0.150 0.3960 0.6453 0.8127 0.9547
-0.100 0.4000 0.6233 0.8080 0.9720
-0.050 0.4293 0.6547 0.8560 0.9727
0.000 0.4200 0.6067 0.8200 1.0060
0.050 0.4300 0.6327 0.8233 0.9967
0.100 0.4220 0.6420 0.8180 0.9787
0.150 0.4520 0.6360 0.7813 0.9287
0.200 0.4413 0.6273 0.7393 0.9480
0.250 0.4380 0.6427 0.7667 0.8567
0.300 0.4293 0.6327 0.7227 0.7933
0.350 0.4427 0.5993 0.6813 0.7653
0.400 0.4933 0.6093 0.6160 0.7033
0.450 0.4433 0.6107 0.6080 0.5987
0.500 0.5100 0.5847 0.5827 0.5127
0.550 0.4833 0.5260 0.4947 0.4033
0.600 0.5413 0.5220 0.4427 0.3420
0.650 0.5433 0.5053 0.3593 0.2513
0.700 0.5860 0.4647 0.3020 0.1733
0.750 0.6127 0.3840 0.2167 0.1027
0.800 0.6640 0.3220 0.1667 0.0453
0.850 0.7127 0.2313 0.0840 0.0100
0.900 0.8093 0.1400 0.0307 0.0027
0.950 0.8167 0.0380 0.0007 0.0000
1.000 0.0000 0.0000 0.0000 0.0000
1.050 0.0000 0.0000 0.0000 0.0000
