x l1 l2 l3 l4
-1.050 0.0000 0.0000 0.0000 0.0000
-1.000 0.0000 0.0000 0.0000 0.0000
-0.950 0.0000 0.0000 0.0000 0.0000
-0.900 0.0000 0.0000 0.0000 0.0000
-0.850 0.0000 0.0000 0.0000 0.0000
-0.800 0.0000 0.0000 0.0000 0.0000
-0.750 0.0000 0.0000 0.0000 0.0000
-0.700 0.0000 0.0000 0.0000 0.0000
-0.650 0.0000 0.0000 0.0000 0.0000
-0.600 0.0000 0.0000 0.0000 0.0000
-0.550 0.0000 0.0000 0.0000 0.0000
-0.500 0.0000 0.0000 0.0000 0.0000
-0.450 0.0000 0.0000 0.0000 0.0000
-0.400 0.0000 0.0000 0.0000 0.0000
-0.350 0.0000 0.0000 0.0000 0.0000
-0.300 0.0000 0.0000 0.0000 0.0000
-0.250 0.0000 0.0000 0.0000 0.0000
-0.200 0.0000 0.0000 0.0000 0.0000
-0.150 0.0000 0.0000 0.0000 0.0000
-0.100 0.0000 0.0000 0.0000 0.0000
-0.050 0.0000 0.0000 0.0000 0.0000
0.000 20.0000 20.0000 20.0000 20.0000
0.050 0.0000 0.0000 0.0000 0.0000
0.100 0.0000 0.0000 0.0000 0.0000
0.150 0.0000 0.0000 0.0000 0.0000
0.200 0.0000 0.0000 0.0000 0.0000
0.250 0.0000 0.0000 0.0000 0.0000
0.300 0.0000 0.0000 0.0000 0.0000
0.350 0.0000 0.0000 0.0000 0.0000
0.400 0.0000 0.0000 0.0000 0.0000
0.450 0.0000 0.0000 0.0000 0.0000
0.500 0.0000 0.0000 0.0000 0.0000
0.550 0.0000 0.0000 0.0000 0.0000
0.600 0.0000 0.0000 0.0000 0.0000
0.650 0.0000 0.0000 0.0000 0.0000
0.700 0.0000 0.0000 0.0000 0.0000
0.750 0.0000 0.0000 0.0000 0.0000
0.800 0.0000 0.0000 0.0000 0.0000
0.850 0.0000 0.0000 0.0000 0.0000
0.900 0.0000 0.0000 0.0000 0.0000
0.950 0.0000 0.0000 0.0000 0.0000
1.000 0.0000 0.0000 0.0000 0.0000
1.050 0.0000 0.0000 0.0000 0.0000
